Issue ID,Checker,CWE,Severity,Impact,File Path,Function,Line,Component,Language,Introduced In Commit,Status,First Detected,Last Seen,Occurrences,Short Description,Recommendation
COV-1100,UNUSED_VALUE,563,Low,Maintainability,src/main/java/com/sampleapp/module0/Service0.java,process,40,Module0,Java,0,New,2/5/2026,3/5/2026,1,Unused assignment ignored by subsequent code.,Remove redundant store or use value.
COV-1101,UNRELEASED_RESOURCE,772,Medium,Reliability,src/main/java/com/sampleapp/module1/Service1.java,process,41,Module1,Java,1,Existing,2/5/2026,3/5/2026,2,Stream not closed on exception path.,Use try-with-resources or finally to close resource.
COV-1102,UNUSED_VALUE,563,Low,Maintainability,src/main/java/com/sampleapp/module2/Service2.java,process,42,Module2,Java,2,Existing,2/5/2026,3/5/2026,3,Unused assignment ignored by subsequent code.,Remove redundant store or use value.
COV-1103,UNRELEASED_RESOURCE,772,Medium,Reliability,src/main/java/com/sampleapp/module3/Service3.java,process,43,Module3,Java,3,New,2/5/2026,3/5/2026,1,Stream not closed on exception path.,Use try-with-resources or finally to close resource.
COV-1104,UNUSED_VALUE,563,Low,Maintainability,src/main/java/com/sampleapp/module0/Service4.java,process,44,Module0,Java,4,Existing,2/5/2026,3/5/2026,2,Unused assignment ignored by subsequent code.,Remove redundant store or use value.
COV-1105,UNRELEASED_RESOURCE,772,Medium,Reliability,src/main/java/com/sampleapp/module1/Service5.java,process,45,Module1,Java,5,Existing,2/5/2026,3/5/2026,3,Stream not closed on exception path.,Use try-with-resources or finally to close resource.
COV-1106,UNUSED_VALUE,563,Low,Maintainability,src/main/java/com/sampleapp/module2/Service6.java,process,46,Module2,Java,6,New,2/5/2026,3/5/2026,1,Unused assignment ignored by subsequent code.,Remove redundant store or use value.
COV-1107,UNRELEASED_RESOURCE,772,Medium,Reliability,src/main/java/com/sampleapp/module3/Service7.java,process,47,Module3,Java,7,Existing,2/5/2026,3/5/2026,2,Stream not closed on exception path.,Use try-with-resources or finally to close resource.
COV-1108,UNUSED_VALUE,563,Low,Maintainability,src/main/java/com/sampleapp/module0/Service8.java,process,48,Module0,Java,8,Existing,2/5/2026,3/5/2026,3,Unused assignment ignored by subsequent code.,Remove redundant store or use value.
COV-1109,UNRELEASED_RESOURCE,772,Medium,Reliability,src/main/java/com/sampleapp/module1/Service9.java,process,49,Module1,Java,9,New,2/5/2026,3/5/2026,1,Stream not closed on exception path.,Use try-with-resources or finally to close resource.
COV-1110,UNUSED_VALUE,563,Low,Maintainability,src/main/java/com/sampleapp/module2/Service10.java,process,50,Module2,Java,0000000a,Existing,2/5/2026,3/5/2026,2,Unused assignment ignored by subsequent code.,Remove redundant store or use value.
COV-1111,UNRELEASED_RESOURCE,772,Medium,Reliability,src/main/java/com/sampleapp/module3/Service11.java,process,51,Module3,Java,0000000b,Existing,2/5/2026,3/5/2026,3,Stream not closed on exception path.,Use try-with-resources or finally to close resource.
COV-1112,UNUSED_VALUE,563,Low,Maintainability,src/main/java/com/sampleapp/module0/Service12.java,process,52,Module0,Java,0000000c,New,2/5/2026,3/5/2026,1,Unused assignment ignored by subsequent code.,Remove redundant store or use value.
COV-1113,UNRELEASED_RESOURCE,772,Medium,Reliability,src/main/java/com/sampleapp/module1/Service13.java,process,53,Module1,Java,0000000d,Existing,2/5/2026,3/5/2026,2,Stream not closed on exception path.,Use try-with-resources or finally to close resource.
COV-1114,UNUSED_VALUE,563,Low,Maintainability,src/main/java/com/sampleapp/module2/Service14.java,process,54,Module2,Java,0000000e,Existing,2/5/2026,3/5/2026,3,Unused assignment ignored by subsequent code.,Remove redundant store or use value.
COV-1115,UNRELEASED_RESOURCE,772,Medium,Reliability,src/main/java/com/sampleapp/module3/Service15.java,process,55,Module3,Java,0000000f,New,2/5/2026,3/5/2026,1,Stream not closed on exception path.,Use try-with-resources or finally to close resource.
COV-1116,UNUSED_VALUE,563,Low,Maintainability,src/main/java/com/sampleapp/module0/Service16.java,process,56,Module0,Java,10,Existing,2/5/2026,3/5/2026,2,Unused assignment ignored by subsequent code.,Remove redundant store or use value.
COV-1117,UNRELEASED_RESOURCE,772,Medium,Reliability,src/main/java/com/sampleapp/module1/Service17.java,process,57,Module1,Java,11,Existing,2/5/2026,3/5/2026,3,Stream not closed on exception path.,Use try-with-resources or finally to close resource.
